Level,Date and Time,Source,Event ID,Task Category
Information,11/13/2021 6:04:25 PM,OpenSSH,4,None,sshd: Server listening on 0.0.0.0 port 22.
Information,11/13/2021 6:04:25 PM,OpenSSH,4,None,sshd: Server listening on :: port 22.
Information,11/13/2021 6:03:15 PM,OpenSSH,4,None,sshd: Server listening on 0.0.0.0 port 22.
Information,11/13/2021 6:03:15 PM,OpenSSH,4,None,sshd: Server listening on :: port 22.
Information,11/13/2021 6:00:16 PM,OpenSSH,4,None,sshd: Server listening on 0.0.0.0 port 22.
Information,11/13/2021 6:00:16 PM,OpenSSH,4,None,sshd: Server listening on :: port 22.
Information,11/13/2021 5:54:39 PM,OpenSSH,4,None,sshd: Server listening on 0.0.0.0 port 22.
Information,11/13/2021 5:54:39 PM,OpenSSH,4,None,sshd: Server listening on :: port 22.
Information,11/13/2021 5:48:13 PM,OpenSSH,4,None,sshd: Server listening on 0.0.0.0 port 22.
Information,11/13/2021 5:48:13 PM,OpenSSH,4,None,sshd: Server listening on :: port 22.
Information,11/13/2021 5:47:42 PM,OpenSSH,4,None,sshd: Server listening on 0.0.0.0 port 22.
Information,11/13/2021 5:47:42 PM,OpenSSH,4,None,sshd: Server listening on :: port 22.
Information,11/13/2021 5:39:11 PM,OpenSSH,4,None,sshd: Server listening on 0.0.0.0 port 22.
Information,11/13/2021 5:39:11 PM,OpenSSH,4,None,sshd: Server listening on :: port 22.
Information,11/13/2021 5:37:43 PM,OpenSSH,4,None,sshd: Received signal 8; terminating.
Information,11/13/2021 5:34:15 PM,OpenSSH,4,None,sshd: Server listening on 0.0.0.0 port 22.
Information,11/13/2021 5:34:15 PM,OpenSSH,4,None,sshd: Server listening on :: port 22.
Information,11/13/2021 5:32:53 PM,OpenSSH,4,None,sshd: Received signal 8; terminating.
Information,11/13/2021 5:20:39 PM,OpenSSH,4,None,sshd: Server listening on 0.0.0.0 port 22.
Information,11/13/2021 5:20:39 PM,OpenSSH,4,None,sshd: Server listening on :: port 22.
Information,11/13/2021 5:19:19 PM,OpenSSH,4,None,sshd: Received signal 8; terminating.
Information,11/13/2021 5:12:13 PM,OpenSSH,4,None,sshd: Server listening on 0.0.0.0 port 22.
Information,11/13/2021 5:12:13 PM,OpenSSH,4,None,sshd: Server listening on :: port 22.
Information,11/13/2021 5:10:41 PM,OpenSSH,4,None,sshd: Received signal 8; terminating.
Information,11/13/2021 5:09:34 PM,OpenSSH,4,None,sshd: Server listening on 0.0.0.0 port 22.
Information,11/13/2021 5:09:34 PM,OpenSSH,4,None,sshd: Server listening on :: port 22.
Information,11/14/2021 1:52:31 AM,OpenSSH,4,None,sshd: Server listening on 0.0.0.0 port 22.
Information,11/14/2021 1:52:31 AM,OpenSSH,4,None,sshd: Server listening on :: port 22.
Information,11/13/2021 4:27:37 PM,OpenSSH,4,None,sshd: Server listening on 0.0.0.0 port 22.
Information,11/13/2021 4:27:37 PM,OpenSSH,4,None,sshd: Server listening on :: port 22.
Information,11/13/2021 4:15:57 PM,OpenSSH,4,None,sshd: Server listening on 0.0.0.0 port 22.
Information,11/13/2021 4:15:57 PM,OpenSSH,4,None,sshd: Server listening on :: port 22.
Information,11/13/2021 3:26:39 PM,OpenSSH,4,None,sshd: Server listening on 0.0.0.0 port 22.
Information,11/13/2021 3:26:39 PM,OpenSSH,4,None,sshd: Server listening on :: port 22.
Information,11/13/2021 3:24:59 PM,OpenSSH,4,None,sshd: Received signal 8; terminating.
Information,11/13/2021 3:20:27 PM,OpenSSH,4,None,sshd: Disconnected from fe80::34cf:d684:683b:5b7b%6 port 50737
Information,11/13/2021 3:20:27 PM,OpenSSH,4,None,sshd: Received disconnect from fe80::34cf:d684:683b:5b7b%6 port 50737:11: disconnected by user
Information,11/13/2021 3:19:34 PM,OpenSSH,4,None,sshd: Accepted password for administrator from fe80::34cf:d684:683b:5b7b%6 port 50737 ssh2
Information,11/13/2021 3:12:38 PM,OpenSSH,4,None,sshd: Connection reset by authenticating user administrator ::1 port 50732 [preauth]
Information,11/13/2021 3:12:38 PM,OpenSSH,4,None,sshd: Failed password for administrator from ::1 port 50732 ssh2
Information,11/13/2021 3:12:36 PM,OpenSSH,4,None,sshd: Failed password for administrator from ::1 port 50732 ssh2
Information,11/13/2021 3:12:33 PM,OpenSSH,4,None,sshd: Failed password for administrator from ::1 port 50732 ssh2
Information,11/13/2021 3:11:28 PM,OpenSSH,4,None,sshd: Server listening on :: port 22.
Information,11/13/2021 2:57:30 PM,OpenSSH,4,None,sshd: Server listening on :: port 22.
